Drink Name,Caffeine (mg)
Red Bull Original (250 mL),80
Red Bull Original (355 mL),114
Red Bull Original (473 mL),151
Red Bull Original (591 mL),189
Red Bull Sugar Free (248 mL),80
Red Bull Zero (248 mL),80
Red Bull Blue Edition - Blueberry (248 mL),80
Red Bull Red Edition - Watermelon (248 mL),80
Red Bull Green Edition - Dragon Fruit (248 mL),80
Red Bull Yellow Edition - Tropical (248 mL),80
Red Bull Coconut Edition (248 mL),80
Red Bull Peach Edition (248 mL),80
Red Bull Winter Edition (248 mL),80
Red Bull Summer Edition (248 mL),80
Red Bull Amber Edition - Fig Apple (248 mL),80
Monster Energy Original (473 mL),160
Monster Energy Original (710 mL),240
Monster Energy Original (946 mL),320
Monster Ultra White (473 mL),150
Monster Ultra Blue (473 mL),150
Monster Ultra Red (473 mL),150
Monster Ultra Black (473 mL),150
Monster Ultra Violet (473 mL),150
Monster Ultra Gold (473 mL),150
Monster Ultra Rosa (473 mL),150
Monster Ultra Watermelon (473 mL),150
Monster Ultra Peachy Keen (473 mL),150
Monster Lo-Carb (473 mL),140
Monster Absolutely Zero (473 mL),140
Monster Pipeline Punch (473 mL),160
Monster Pacific Punch (473 mL),160
Monster Mango Loco (473 mL),160
Monster Khaotic (473 mL),160
Monster Assault (473 mL),160
Monster Hydro Super Sport (591 mL),125
Monster Rehab Lemonade Tea (458 mL),161
Monster Rehab Peach Tea (458 mL),161
Monster Java Mean Bean (444 mL),188
Monster Java Loca Moca (444 mL),188
Monster Java Kona Blend (444 mL),188
Monster Java Swiss Chocolate (444 mL),188
Monster Java Triple Shot (444 mL),225
Monster Espresso Triple Shot (248 mL),157
Monster Dragon Tea White Tea (458 mL),160
Monster The Doctor (473 mL),160
Monster Lewis Hamilton Edition (473 mL),160
Rockstar Original (473 mL),160
Rockstar Original (710 mL),240
Rockstar Pure Zero Punched (473 mL),160
Rockstar Pure Zero Silver Ice (473 mL),160
Rockstar XDurance Berry (473 mL),160
Rockstar Revolt Killer Citrus (473 mL),160
Rockstar Revolt Killer Grape (473 mL),160
Rockstar Boom Whipped Strawberry (473 mL),160
Rockstar Unplugged Hemp & Blueberry (473 mL),80
NOS Energy (473 mL),160
NOS Energy (710 mL),240
Full Throttle Original (473 mL),160
AMP Energy Original (473 mL),142
AMP Energy Sugar Free (473 mL),142
Venom Energy Mojave Rattler (473 mL),160
Venom Energy Black Mamba (473 mL),160
Venom Death Adder (473 mL),160
Xyience Cherry Lime (473 mL),176
Xyience Cran Razz (473 mL),176
Xyience Frostberry Blast (473 mL),176
Bang Energy Original (473 mL),300
Bang Energy Sweet Tea (473 mL),300
Bang Energy Star Blast (473 mL),300
Bang Energy Black Cherry Vanilla (473 mL),300
Bang Energy Cotton Candy (473 mL),300
Bang Energy Peach Mango (473 mL),300
Bang Energy Birthday Cake Bash (473 mL),300
Reign Total Body Fuel Orange Dreamsicle (473 mL),300
Reign Total Body Fuel Melon Mania (473 mL),300
Reign Total Body Fuel Strawberry Sublime (473 mL),300
Reign Inferno True Blu (473 mL),300
Reign Inferno Jalapeño Strawberry (473 mL),300
Reign Storm Harvest Grape (355 mL),200
Reign Storm Valencia Orange (355 mL),200
C4 Energy Original (473 mL),200
C4 Smart Energy (355 mL),200
C4 Ultimate (473 mL),300
C4 Natural Zero (473 mL),200
Ghost Energy Original (473 mL),200
Ghost Hydration (473 mL),75
Ghost Legend (473 mL),250
Celsius Sparkling Orange (355 mL),200
Celsius Sparkling Watermelon (355 mL),200
Celsius Sparkling Wild Berry (355 mL),200
Celsius Sparkling Peach Mango Green Tea (355 mL),200
Celsius Raspberry Acai Green Tea (355 mL),200
Celsius Grapefruit (355 mL),200
Celsius Heat Orangesicle (473 mL),300
Celsius Heat Cherry Lime (473 mL),300
Celsius On-The-Go (1 packet / 14g),200
Alani Nu Energy (355 mL),200
Alani Nu Breezeberry (355 mL),200
Alani Nu Cosmic Stardust (355 mL),200
PRIME Energy Drink (355 mL),200
PRIME Hydration (500 mL),0
5-hour Energy Original (57 mL),200
5-hour Energy Extra Strength (57 mL),230
5-hour Energy Decaf (57 mL),6
Zipfizz Original (1 tube dissolved),100
Redline Xtreme (237 mL),316
Spike Energy Shooter (133 mL),300
Wired X505 (710 mL),505
Bawls Guarana (296 mL),64
Bawls Guarana (473 mL),102
Guru Organic Energy (355 mL),100
Guru Lite (248 mL),80
Uptime Energy Original (355 mL),142
Hi-Ball Energy Wild Berry (473 mL),160
Hi-Ball Energy Grapefruit (473 mL),160
Rip It Energy Tribute (237 mL),80
Rip It Energy (473 mL),160
Emerge Energy (250 mL),75
Lucozade Energy Original (380 mL),46
Lucozade Energy Orange (500 mL),60
V Energy Green (250 mL),78
V Energy Blue (500 mL),156
Mother Energy Original (500 mL),160
Burn Energy (250 mL),80
Relentless Origin (500 mL),160
Carabao Energy (250 mL),80
Power Horse Energy (250 mL),80
Tiger Energy (250 mL),80
Dark Dog Organic (250 mL),80
Flying Horse Energy (250 mL),80
Krating Daeng / Thai Red Bull (150 mL),50
EBOOST Super Powder Shot (59 mL),110
Advocare Spark Energy (1 packet),120
G Fuel Powder (1 serving),150
G Fuel Cans (473 mL),300
G Fuel Shot (59 mL),150
Optimum Nutrition Amino Energy Can (355 mL),100
Reign Thermogenic Fuel (473 mL),300
Starbucks Pike Place Roast Short (237 mL),155
Starbucks Pike Place Roast Tall (355 mL),235
Starbucks Pike Place Roast Grande (473 mL),310
Starbucks Pike Place Roast Venti (591 mL),410
Starbucks Blonde Roast Tall (355 mL),270
Starbucks Blonde Roast Grande (473 mL),360
Starbucks Blonde Roast Venti (591 mL),475
Starbucks Dark Roast Tall (355 mL),193
Starbucks Dark Roast Grande (473 mL),260
Starbucks Dark Roast Venti (591 mL),340
Starbucks Espresso Single Shot (30 mL),75
Starbucks Espresso Doppio (59 mL),150
Starbucks Americano Tall (355 mL),150
Starbucks Americano Grande (473 mL),225
Starbucks Americano Venti Hot (591 mL),300
Starbucks Americano Venti Iced (710 mL),375
Starbucks Latte Tall (355 mL),75
Starbucks Latte Grande (473 mL),150
Starbucks Latte Venti Hot (591 mL),150
Starbucks Latte Venti Iced (710 mL),225
Starbucks Cappuccino Tall (355 mL),75
Starbucks Cappuccino Grande (473 mL),150
Starbucks Cappuccino Venti (591 mL),150
Starbucks Flat White Tall (355 mL),130
Starbucks Flat White Grande (473 mL),195
Starbucks Mocha Tall (355 mL),90
Starbucks Mocha Grande (473 mL),175
Starbucks Mocha Venti (591 mL),185
Starbucks White Mocha Tall (355 mL),75
Starbucks White Mocha Grande (473 mL),150
Starbucks Caramel Macchiato Tall (355 mL),75
Starbucks Caramel Macchiato Grande (473 mL),150
Starbucks Caramel Macchiato Venti (591 mL),150
Starbucks Cold Brew Tall (355 mL),155
Starbucks Cold Brew Grande (473 mL),205
Starbucks Cold Brew Venti (710 mL),310
Starbucks Cold Brew Trenta (887 mL),360
Starbucks Nitro Cold Brew Tall (355 mL),215
Starbucks Nitro Cold Brew Grande (473 mL),280
Starbucks Iced Coffee Tall (355 mL),120
Starbucks Iced Coffee Grande (473 mL),165
Starbucks Iced Coffee Venti (710 mL),235
Starbucks Refreshers Strawberry Acai Tall (355 mL),45
Starbucks Refreshers Mango Dragonfruit Tall (355 mL),45
Starbucks Refreshers Pineapple Passionfruit Tall (355 mL),45
Starbucks Matcha Latte Tall (355 mL),55
Starbucks Matcha Latte Grande (473 mL),80
Starbucks Chai Latte Tall (355 mL),40
Starbucks Chai Latte Grande (473 mL),95
Starbucks Chai Latte Venti (591 mL),145
Starbucks Iced Chai Latte Tall (355 mL),40
Starbucks Iced Chai Latte Grande (473 mL),95
Starbucks Iced Chai Latte Venti (710 mL),145
Starbucks Green Tea Latte Tall (355 mL),55
Starbucks Green Tea Latte Grande (473 mL),80
Starbucks Frappuccino Coffee (405 mL bottle),130
Starbucks Doubleshot Espresso (192 mL can),135
Starbucks Doubleshot Energy (444 mL can),146
Starbucks Tripleshot Energy (444 mL can),225
Starbucks Cold Brew Black Unsweetened (325 mL bottle),155
Starbucks Cold Brew Concentrate (946 mL) per 59 mL serving,200
Starbucks Pumpkin Spice Latte Tall (355 mL),75
Starbucks Pumpkin Spice Latte Grande (473 mL),150
Starbucks Eggnog Latte Grande (473 mL),150
Starbucks Clover Reserve Brewed Coffee Tall (355 mL),280
Starbucks Clover Reserve Brewed Coffee Grande (473 mL),380
Tim Hortons Original Blend Small (296 mL),140
Tim Hortons Original Blend Medium (414 mL),205
Tim Hortons Original Blend Large (591 mL),270
Tim Hortons Original Blend XL (710 mL),340
Tim Hortons Dark Roast Small (296 mL),130
Tim Hortons Dark Roast Medium (414 mL),190
Tim Hortons Dark Roast Large (591 mL),250
Tim Hortons Dark Roast XL (710 mL),315
Tim Hortons Espresso Single Shot (30 mL),45
Tim Hortons Espresso Double Shot (59 mL),90
Tim Hortons Americano Small (296 mL),90
Tim Hortons Americano Medium (414 mL),135
Tim Hortons Americano Large (591 mL),180
Tim Hortons Latte Small (296 mL),45
Tim Hortons Latte Medium (414 mL),90
Tim Hortons Latte Large (591 mL),135
Tim Hortons Cappuccino Small (296 mL),45
Tim Hortons Cappuccino Medium (414 mL),90
Tim Hortons Cappuccino Large (591 mL),135
Tim Hortons Café Mocha Small (296 mL),60
Tim Hortons Café Mocha Medium (414 mL),90
Tim Hortons Café Mocha Large (591 mL),120
Tim Hortons French Vanilla Small (296 mL),60
Tim Hortons French Vanilla Medium (414 mL),90
Tim Hortons French Vanilla Large (591 mL),120
Tim Hortons French Vanilla XL (710 mL),150
Tim Hortons Hot Chocolate Small (296 mL),5
Tim Hortons Hot Chocolate Medium (414 mL),8
Tim Hortons Hot Chocolate Large (591 mL),10
Tim Hortons Steeped Tea Small (296 mL),30
Tim Hortons Steeped Tea Medium (414 mL),45
Tim Hortons Steeped Tea Large (591 mL),60
Tim Hortons Steeped Tea XL (710 mL),75
Tim Hortons Iced Coffee Small (473 mL),70
Tim Hortons Iced Coffee Medium (651 mL),100
Tim Hortons Iced Coffee Large (828 mL),130
Tim Hortons Cold Brew Small (473 mL),170
Tim Hortons Cold Brew Medium (651 mL),230
Tim Hortons Cold Brew Large (828 mL),280
Tim Hortons Iced Latte Small (473 mL),90
Tim Hortons Iced Latte Medium (651 mL),135
Tim Hortons Iced Latte Large (828 mL),180
McDonald's McCafé Premium Roast Small (355 mL),109
McDonald's McCafé Premium Roast Medium (473 mL),145
McDonald's McCafé Premium Roast Large (621 mL),178
McDonald's McCafé Premium Roast XL (946 mL),274
McDonald's McCafé Espresso Single Shot (30 mL),71
McDonald's McCafé Americano Small (355 mL),71
McDonald's McCafé Americano Medium (473 mL),142
McDonald's McCafé Americano Large (621 mL),178
McDonald's McCafé Latte Small (355 mL),71
McDonald's McCafé Latte Medium (473 mL),142
McDonald's McCafé Latte Large (621 mL),178
McDonald's McCafé Cappuccino Small (355 mL),71
McDonald's McCafé Cappuccino Medium (473 mL),142
McDonald's McCafé Cappuccino Large (621 mL),178
McDonald's McCafé Mocha Small (355 mL),86
McDonald's McCafé Mocha Medium (473 mL),167
McDonald's McCafé Mocha Large (621 mL),200
McDonald's McCafé Iced Coffee Small (340 mL),200
McDonald's McCafé Iced Coffee Medium (473 mL),200
McDonald's McCafé Iced Coffee Large (651 mL),320
McDonald's McCafé Iced Latte Small (340 mL),71
McDonald's McCafé Iced Latte Medium (473 mL),142
McDonald's McCafé Iced Latte Large (651 mL),178
McDonald's McCafé Frappe Mocha Small (355 mL),75
McDonald's McCafé Frappe Mocha Medium (473 mL),100
McDonald's McCafé Frappe Mocha Large (651 mL),130
McDonald's McCafé Cold Brew Small (473 mL),180
McDonald's McCafé Cold Brew Medium (621 mL),250
McDonald's McCafé Cold Brew Large (946 mL),330
Dunkin' Original Blend Small (296 mL),150
Dunkin' Original Blend Medium (414 mL),210
Dunkin' Original Blend Large (591 mL),300
Dunkin' Original Blend XL (710 mL),359
Dunkin' Dark Roast Medium (414 mL),210
Dunkin' Espresso Single Shot (30 mL),75
Dunkin' Espresso Doppio (59 mL),150
Dunkin' Americano Medium (414 mL),371
Dunkin' Americano Large (591 mL),529
Dunkin' Latte Small (296 mL),118
